temp,vMSS#61_02,vmss61-2,DUNSAN_NEW,7,NA,8,NA-8,15,60.50.53.12
temp,vMSS#61_03,vmss61-3,DUNSAN_NEW,7,NA,8,NA-8,19,60.50.53.13
temp,vMSS#61_04,vmss61-4,DUNSAN_NEW,7,NA,8,NA-8,23,60.50.53.14
temp,vMSS#61_05,vmss61-5,DUNSAN_NEW,7,NA,8,NA-8,27,60.50.53.15
temp,DS_NFVO#02,NFVO_2,DUNSAN_NEW,7,NA,9,NA-9,11,60.50.51.12
temp,SSCMS_2,temp20,DUNSAN_NEW,7,NA,9,NA-9,17,1.1.1.62
temp,DS_NFVO_DBMMM,nfvodbmmm,DUNSAN_NEW,7,NA,9,NA-9,21,60.50.51.31
temp,VIM#61_S,VIM61_S,DUNSAN_NEW,7,NA,9,NA-9,25,60.50.51.93
temp,VNFM61_S,temp21,DUNSAN_NEW,7,NA,9,NA-9,29,1.1.1.63
temp,vTAS#71_EMS,vTAS71_EMS,DUNSAN_NEW,7,NA,9,NA-9,33,60.50.62.18
temp,GM_EMS,temp22,DUNSAN_NEW,7,NA,9,NA-9,37,1.1.1.64
temp,DS_NFVO#01,NFVO_1,DUNSAN_NEW,7,NA,10,NA-10,11,60.50.51.11
temp,SSCMS_1,temp23,DUNSAN_NEW,7,NA,10,NA-10,17,1.1.1.65
temp,SSEMS,temp24,DUNSAN_NEW,7,NA,10,NA-10,21,1.1.1.66
temp,VIM#61_A,VIM61_A,DUNSAN_NEW,7,NA,10,NA-10,25,60.50.51.92
temp,VNFM61_A,temp25,DUNSAN_NEW,7,NA,10,NA-10,29,1.1.1.67
temp,vTAS61_EMS,temp26,DUNSAN_NEW,7,NA,10,NA-10,33,1.1.1.68
temp,vCNEMS#2,temp27,DUNSAN_NEW,7,NA,10,NA-10,37,1.1.1.69
temp,VoLTEGW#52A,temp28,DUNSAN_NEW,7,NA,11,NA-11,7,1.1.1.70
temp,VoLTEGW#52OMP,temp29,DUNSAN_NEW,7,NA,11,NA-11,12,1.1.1.71
temp,HSS55,temp30,DUNSAN_NEW,7,NA,11,NA-11,14,60.11.81.4
temp,HSS52,temp31,DUNSAN_NEW,7,NA,11,NA-11,19,1.1.1.72
temp,MRF52_OMP,temp32,DUNSAN_NEW,7,NA,11,NA-11,24,1.1.1.73
temp,MRFP#52A,MRFP52_01,DUNSAN_NEW,7,NA,11,NA-11,26,60.11.81.72
temp,MRFC#52A,MRFC52A,DUNSAN_NEW,7,NA,11,NA-11,30,60.11.81.70
temp,VoLTEGW#52S,temp33,DUNSAN_NEW,7,NA,12,NA-12,7,1.1.1.74
temp,SLF52,temp34,DUNSAN_NEW,7,NA,12,NA-12,14,60.11.82.35
temp,HSS OMP52,temp35,DUNSAN_NEW,7,NA,12,NA-12,17,1.1.1.75
temp,HSS#54,HSS54,DUNSAN_NEW,7,NA,12,NA-12,19,60.11.82.37
temp,MRFP#52S,MRFP52_02,DUNSAN_NEW,7,NA,12,NA-12,26,60.11.81.73
temp,MRFC#52S,MRFC52S,DUNSAN_NEW,7,NA,12,NA-12,31,60.11.81.71
temp,VTAS76_S,VTAS76_S,DUNSAN_NEW,7,NC,1,NC-1,11,1.1.1.76
temp,VTAS63_S,temp36,DUNSAN_NEW,7,NC,1,NC-1,17,1.1.1.77
temp,VTAS62_S,temp37,DUNSAN_NEW,7,NC,1,NC-1,26,1.1.1.78
temp,vTAS#75_S_HOST,vTAS75-S,DUNSAN_NEW,7,NC,1,NC-1,32,60.13.126.19
temp,vTAS_EMS#75_HOST,vTAS-EMS75,DUNSAN_NEW,7,NC,1,NC-1,38,60.13.126.21
temp,VTAS76_A,VTAS76_A,DUNSAN_NEW,7,NC,2,NC-2,11,1.1.1.79
temp,VTAS63_A,temp38,DUNSAN_NEW,7,NC,2,NC-2,17,1.1.1.80
temp,VTAS62_A,temp39,DUNSAN_NEW,7,NC,2,NC-2,26,1.1.1.81
temp,vTAS#75_A_HOST,vTAS75-A,DUNSAN_NEW,7,NC,2,NC-2,32,60.13.126.18
temp,TAS5758_OMP,temp40,DUNSAN_NEW,7,NC,2,NC-2,39,1.1.1.82
temp,vTAS#71_A,vTAS71_A,DUNSAN_NEW,7,NC,3,NC-3,11,60.50.62.12
temp,vTAS#72_A,vTAS72_A,DUNSAN_NEW,7,NC,3,NC-3,17,60.50.62.15
